tag,window,kmer,top_ratio,normalization,score_min,score_max,test_score_std_avg,test_clip_max_rate_avg,test_class_score_spread,baseline_score_error_pearson,germ_bo_score_error_pearson,baseline_score_margin_pearson,germ_bo_score_margin_pearson,test_entropy3_pearson,test_gc_pearson,test_max3_pearson,quality_score
w64_k3_t025_train_minmax_r07_13,64,3,0.25,train_minmax,0.7,1.3,0.052151726621169125,0.0,0.013622180999999234,0.03708915299682689,0.00782633314612108,0.05741642795010936,0.09493056739925015,0.2724147372055299,-0.04278270545526669,-0.04180977744606939,0.05005790251782517
w64_k2_t10_train_minmax_r08_12,64,2,1.0,train_minmax,0.8,1.2,0.03008469477443007,0.0,0.00927761499999924,0.04188746754168962,0.006753368841179662,0.033742332502562436,0.05845565064154245,0.016417735514220082,0.00634919060852138,0.13449158495534627,0.04663335762720954
w64_k3_t05_train_minmax_r07_13,64,3,0.5,train_minmax,0.7,1.3,0.051128072529061354,0.0,0.014738455999998124,0.04046920532917581,0.007889923326795669,0.05683430699807602,0.09522009662396405,0.29489780027127704,-0.04761578785029178,-0.05172930300477052,0.04524827343781203
w48_k3_t025_train_minmax_r07_13,48,3,0.25,train_minmax,0.7,1.3,0.05648360782471751,0.0,0.019156743000000587,0.055835668015140616,0.017744851051884926,0.036033368556771805,0.06139026023338314,0.2883337390612328,-0.07214340299905037,-0.08434189133957336,0.043013137183671196
w48_k3_t05_train_minmax_r07_13,48,3,0.5,train_minmax,0.7,1.3,0.053941990419783724,0.0,0.019584922000001725,0.06147773741289495,0.021967757576079067,0.03410446530014974,0.060173420221781494,0.30935325093689786,-0.07687305271446274,-0.0971704299381623,0.03742925650289748
w32_k3_t025_train_minmax_r07_13,32,3,0.25,train_minmax,0.7,1.3,0.059770818110043734,0.0,0.027503595999999852,0.0852295320073581,0.03580100222634308,0.00706846830223865,0.015828195270889047,0.29258117846858084,-0.08812938094081547,-0.12199977221486084,0.0371543871320221
w32_k3_t05_train_minmax_r07_13,32,3,0.5,train_minmax,0.7,1.3,0.05936767080006502,0.0,0.027881180999997257,0.08650456918562482,0.03738150129817684,0.008101862505445482,0.01627851389769941,0.31110543484414066,-0.09803171744750906,-0.13026024501225703,0.03298285363069198
w64_k3_t10_train_minmax_r07_13,64,3,1.0,train_minmax,0.7,1.3,0.05259813477901143,0.0,0.01609756000000151,0.043567344407288544,0.010574402463591913,0.045772948512965914,0.08414091255119895,0.33480737211362893,-0.049733707257618394,-0.08261546275552353,0.032750420229847935
w64_k3_t025_train_minmax_r08_12,64,3,0.25,train_minmax,0.8,1.2,0.034767823678559,0.0,0.00908145800000093,0.03708919324649201,0.007826330261695548,0.057416460558145845,0.0949306050456967,0.27241453718230546,-0.04278274526941703,-0.04180941566274273,0.03267408852907698
w64_k3_t05_train_minmax_r08_12,64,3,0.5,train_minmax,0.8,1.2,0.03408538185920254,0.0,0.009825634000002026,0.040469046265437146,0.00788989040188578,0.056834375558847273,0.09522025449492776,0.2948974585529354,-0.04761552862782047,-0.051728871367056284,0.028205667601151133
w48_k3_t025_train_minmax_r08_12,48,3,0.25,train_minmax,0.8,1.2,0.03765574274328979,0.0,0.012771176000002882,0.05583565855711601,0.017744735489629238,0.03603327199222376,0.06139012585725078,0.2883336905372355,-0.07214349617308448,-0.08434180952711834,0.024185212316164315
w48_k3_t10_train_minmax_r07_13,48,3,1.0,train_minmax,0.7,1.3,0.053646708444150225,0.0,0.02000608100000134,0.06532872094783594,0.028252599253585087,0.023616549171355118,0.050083915729608394,0.35210279573994807,-0.07968720280420571,-0.12801145139332498,0.023327327847885382
w32_k3_t10_train_minmax_r07_13,32,3,1.0,train_minmax,0.7,1.3,0.060840458649067695,0.0,0.02817417399999944,0.08482233846682385,0.03986638864893966,0.004941033544009735,0.011847289373672595,0.3442434399008292,-0.10518029839797799,-0.15725063793537505,0.023114412594108638
w48_k3_t05_train_minmax_r08_12,48,3,0.5,train_minmax,0.8,1.2,0.035961324997140186,0.0,0.013056607999999637,0.061477624378858654,0.021967684219980663,0.03410458597201421,0.06017354616976637,0.30935334620705984,-0.07687308721561316,-0.09717016670284265,0.019448573719687737
w32_k3_t025_train_minmax_r08_12,32,3,0.25,train_minmax,0.8,1.2,0.03984720906739412,0.0,0.018335736000000935,0.08522951430229064,0.0358010485735496,0.007068219852689042,0.015827948358738176,0.29258117815586465,-0.0881292030972923,-0.12200005117022954,0.017230645858942364
w64_k3_t10_train_minmax_r08_12,64,3,1.0,train_minmax,0.8,1.2,0.0350654302519133,0.0,0.010731688999998212,0.04356724719165553,0.010574291495038477,0.045773109317386595,0.08414109677177359,0.3348073059873472,-0.04973381604618933,-0.08261532828271334,0.015217775736791062
w32_k3_t05_train_minmax_r08_12,32,3,0.5,train_minmax,0.8,1.2,0.039578455704754816,0.0,0.018587487000002456,0.08650467036099974,0.03738157323033897,0.008101760917061596,0.016278402406881325,0.3111057056978595,-0.09803155968212905,-0.13026056250491855,0.01319356566423048
w48_k3_t10_train_minmax_r08_12,48,3,1.0,train_minmax,0.8,1.2,0.03576446293856376,0.0,0.01333739799999889,0.0653286867525197,0.028252581418330994,0.02361645053026715,0.05008380161548412,0.3521027642416052,-0.07968717564431106,-0.12801120995302295,0.005445016062164368
w32_k3_t10_train_minmax_r08_12,32,3,1.0,train_minmax,0.8,1.2,0.04056031096480941,0.0,0.018782771000000587,0.08482226703042801,0.03986636607828402,0.00494103616450204,0.011847393762571974,0.34424335425672753,-0.10518004053149413,-0.15725058401258235,0.0028343027971275137
